Id. Biblioth�que actuelle;ppn;ID Localisation;Desc Cote Principale;count
LASH;016591941;SL1;032 ENC ex*;1
LASH;001588753;SL1;004.602 PEL;50
LASH;14808463X;SL1;005.3 Office MAR;13
LASH;078762200;SL1;006.3 DRE;76
LASH;142553263;SL1;004 MOU;112
LASH;001280171;SL1;002.090 2 GLE;104
LASH;121786579;SL1;006.7 Flash PUP;8
LASH;003856984;SL1;006.3 TIS;44
LASH;131556444;SL1;006.7 Flash PUP;19
LASH;003856984;SL1;006.3 TIS;44
LASH;131556444;SL1;006.7 Flash PUP;19
LASH;006615236;SL1;034 LAR ex*;33
LASH;177594837;SL1;028 DUC;37
LASH;005343844;SL1;034 PLE ex*;36
LASH;121786579;SL1;006.7 Flash PUP;8
LASH;003856984;SL1;006.3 TIS;44
LASH;143368176;SL1;025.04 MAR;110
LASH;180813900;SL1;027.6 FRO;35
LASH;059175036;SL1;028 MOL;104
LASH;003933075;SL1;028 CHA;115
LASH;003022676;SL1;028 JOU;138
LASH;185601162;SL1;027 ARC;37
LASH;112559492;SL1;028 DEM;135
LASH;012804754;SL1;034 PLE ex*;122
LASH;003040399;SL1;028 PRA;75
LASH;022791272;SL1;030.92 SAN (1);15
LASH;015080196;SL1;030.92 SAN (1);1
LASH;015080196;SL1;030.92 SAN (2);1
LASH;016591941;SL1;032 ENC ex*;0
LASH;015080196;SL1;030.92 SAN (4);0
LASH;022791272;SL1;030.92 SAN (2);0
LASH;015080196;SL1;030.92 SAN (3);0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;048965979;SL1;034 MEM ex*;0
LASH;006615236;SL1;034 LAR ex*;0
LASH;006615236;SL1;034 LAR ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;016591941;SL1;032 ENC ex*;0
LASH;006615236;SL1;034 LAR ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;006615236;SL1;034 LAR ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;012782602;SL1;034 GRO ex*;0
LASH;000244400;SL1;034 PLE ex*;0
LASH;015943437;SL1;034 PLE;0
LASH;015943437;SL1;034 PLE;0
LASH;005331536;SL1;034 PLE ex*;0
LASH;015943437;SL1;034 PLE ex*;0
LASH;012593214;SL1;034 PLE ex*;0
LASH;012463256;SL1;034 PLE ex*;0
LASH;015943437;SL1;034 PLE ex*;0
LASH;002444348;SL1;034 QSJ  2397;0
LASH;015943437;SL1;034 PLE;0
LASH;015943437;SL1;034 PLE ex*;0
LASH;001906348;SL1;034 PLE ex*;0
LASH;004777700;SL1;034 QSJ;0
LASH;005343844;SL1;034 PLE ex*;0
LASH;008809887;SL1;034 QSJ 1000;0
LASH;011378190;SL1;034 QSJ 1002;0
LASH;002689820;SL1;034 QSJ 1000;0
LASH;011378190;SL1;034 QSJ 1002;0
LASH;005327598;SL1;034 QSJ  588;0
LASH;011378190;SL1;034 QSJ 1002;0
LASH;011378190;SL1;034 QSJ 1002;27
LASH;013255525;SL1;034 QSJ 1002;17
LASH;008684529;SL1;034 QSJ 1003;23
LASH;011586206;SL1;034 QSJ 1002;20
LASH;011378190;SL1;034 QSJ 1002;27
LASH;011199695;SL1;034 QSJ 1007;17
LASH;001808060;SL1;034 QSJ 1004;10
LASH;045297231;SL1;034 QSJ 1006;48
